gid,count,name,type,created_by_name,created_by_email,is_global_to_workspace,enum_option_names
1201932156952852,57,Estimated hours,number,Spurti,spurti@896974409.asanatest1.us,True,
1201932155895771,18,Actual hours,number,Michelle Weeks,michelle@896974409.asanatest1.us,True,
1201932078947097,7,Expected effort,text,Spurti,spurti@896974409.asanatest1.us,True,
1201932077022622,3,Score,enum,Jamie Staples,jamie-template@896974409.asanatest1.us,True,"['5', '4', '3', '2', '1']"
1201932076420207,2,Planning Category,enum,Spurti,spurti@896974409.asanatest1.us,True,"['Venue', 'Guest Management', 'Catering', 'Budgeting', 'Other']"
1201932078124426,2,Status,enum,Spurti,spurti@896974409.asanatest1.us,True,"['On hold', 'In progress', 'Waiting on']"
1201932171892723,1,Approved?,enum,Michelle Weeks,michelle@896974409.asanatest1.us,False,"['Yes', 'No']"
1201932153630539,1,Progress 1200184393628725,enum,Spurti,spurti@896974409.asanatest1.us,True,"['Stand by', 'In-work', 'Completed', 'Achieved', 'On track', 'Deferred', 'Failed']"
1201932078963211,1,Launch phase,enum,Spurti,spurti@896974409.asanatest1.us,True,"['Planning', 'A/B test', 'In beta', 'Gradual roll-out', '100% launch']"
1201932076044915,1,PM task type,enum,Spurti,spurti@896974409.asanatest1.us,False,"['Milestone', 'Deliverable']"
1201932033795757,1,Actual effort,text,Spurti,spurti@896974409.asanatest1.us,False,
1201932076821913,1,Expected time,number,Michelle Weeks,michelle@896974409.asanatest1.us,False,
1201932171140050,1,Actual time,number,Michelle Weeks,michelle@896974409.asanatest1.us,False,
1201932153903165,1,Type of bug,enum,Jamie Staples,jamie-template@896974409.asanatest1.us,True,"['Web', 'Mobile', 'UX']"
1201932077543774,1,Bug Status,enum,Jamie Staples,jamie-template@896974409.asanatest1.us,True,"['Assigned', 'In Progress', 'Resolved', 'BLOCKED']"
1201932035166632,2,Bug Priority,enum,Carly Coats,carly-template@896974409.asanatest1.us,True,"['P0 (consider rolling back to prod)', 'P1 (fix within 1 week)', 'P2', 'P3']"
1201932076912434,2,Bug Severity,enum,Carly Coats,carly@896974409.asanatest1.us,True,"['User flow stopping', 'Functional error', 'Visual only', 'Typos', 'Incorrect placement', 'Form factor']"
1201932077791542,1,Client Status,enum,Spurti,spurti@896974409.asanatest1.us,False,"['At risk', 'Churn', 'In progress']"
1201932077613792,1,Finance function,enum,Lily,lily@896974409.asanatest1.us,False,"['AR & Billing', 'Budget', 'AP, Corp Cards, Expense Reports', 'Wires', 'Other']"
1201932156324926,1,Task status,enum,Lily,lily@896974409.asanatest1.us,False,"['Untriaged', 'Triaged', 'In progress', 'Actioned/answered']"
1201932153077703,1,Related URL,text,Lily,lily@896974409.asanatest1.us,False,
1201932153669996,1,Feedback (optional),enum,Lily,lily@896974409.asanatest1.us,False,"['Confusing process', 'Answer not self-serviceable', 'Post Close Entry', 'In comment below']"
1201932075946825,1,Affiliate platform,enum,Cosmina Sipos,,True,"['Emag', 'Amazon']"
1201932153265416,1,Type of task,enum,Cosmina Cypress,cosmina@896974409.asanatest1.us,True,"['Reference', 'Demo', 'Question']"
1201932077108619,4,Estimated cost,number,Spurti,spurti@896974409.asanatest1.us,True,
1201932155579271,27,Priority,enum,,,True,"['High', 'Medium', 'Low']"
1201932035253391,3,Minutes,number,,,True,
1201932076430846,2,Progress (%),enum,Lily,lily@896974409.asanatest1.us,True,"['0%', '25%', '50%', '75%', '100%']"
1201932035713295,3,Position,text,,,True,
1201932076784370,1,Interview stage,enum,,,True,"['Recruiter screen', 'Challenge', 'Phone interview', 'On-site interview', 'Decision pending']"
1201932076528754,1,Hiring status,enum,,,True,"['Hire', 'No hire', 'Offer accepted', 'Offer rejected']"
1201932034160135,1,Training audience,enum,,,True,"['All teammates', 'Team leads']"
1201932153273908,2,Onboarding activity,enum,,,True,"['Assess', 'Setup', 'Change management', 'Communications', 'Training', 'Execution', 'Milestone']"
1201932035172375,1,Progress,enum,,,True,"['Achieved', 'On track', 'Deferred', 'Failed']"
1201932076075392,1,Team,text,,,True,
1201932079375455,1,Product-OKR Status,enum,Michelle Weeks,michelle@896974409.asanatest1.us,False,"['25', '50', '75', '100']"
